idx,R,G,B,A,ver,hem,network,parcel,sub_idx,Ri,Ant,Sup,net_idx
172,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,1,-21,-79,45,1
173,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,2,-26,-70,31,1
174,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,3,-25,-85,21,1
175,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,4,-39,-84,14,1
176,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,5,-46,-73,6,1
177,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,6,-41,-87,-3,1
178,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,7,-45,-70,-8,1
179,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,8,-36,-81,-16,1
180,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,9,-23,-73,-10,1
181,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,10,-36,-62,-17,1
182,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,ExStr,11,-33,-42,-21,1
183,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,PrC,1,-40,-3,51,1
184,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,LH,VisualA,SPL,1,-29,-61,62,1
369,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,1,29,-78,37,1
370,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,2,32,-66,35,1
371,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,3,27,-87,21,1
372,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,4,36,-79,24,1
373,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,5,35,-89,2,1
374,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,6,43,-79,10,1
375,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,7,48,-66,4,1
376,0.470588235294118,0.0705882352941176,0.525490196078431,1,17networks,RH,VisualA,ExStr,8,50,-64,-9,1
